BACK.L,iShares US Equity Buyback Achievers,IE00BQT3VN15,4.82,ETF,LSE
BACS.L,ISHARES IV PLC ISHARES US EQUIT,IE00BQT3VN15,339.35,ETF,LSE
BBEB.L,iShares Euro Corporate Bond BB-B,IE00BYTSJG15,5.08,ETF,LSE
BBSB.L,iShares Euro Corporate Bond BB-B,IE00BYTSJG15,403.65,ETF,LSE
BRIC.L,iShares II Public Limited Company - iShares BRIC 50 UCITS ETF,IE00B1W57M07,1440.5,ETF,LSE
CAU1.L,ISHARES VII PLC ISHARES MSCI AU,IE00B5V70487,8476,ETF,LSE
CBE0.L,ISHS EUR GOV EUR-AC,IE00B3VTN290,155.12,ETF,LSE
CBE3.L,ISH EUR GOV 1-3-ACC,IE00B3VTMJ91,111.81,ETF,LSE
CBE7.L,ISHS EUR GOV EUR-AC,IE00B3VTML14,132.46,ETF,LSE
CBIE.L,ISHARES VII PLC ISHARES EUR INF,IE00B3VTQ640,135.98,ETF,LSE
CBIU.L,,IE00B3VTPS97,NaN,,
CBR1.L,ISHARES VII PLC ISHARES MSCI BR,IE00B59L7C92,3170,ETF,LSE
CBU0.L,ISHS USD TRE USD-AC,IE00B3VWN518,140.24,ETF,LSE
CBU3.L,ISHS USD TRE USD-AC,IE00B3VWN179,105.47,ETF,LSE
CBU7.L,ISHS USD TRE USD-AC,IE00B3VWN393,123.27,ETF,LSE
CCAU.L,iShares MSCI Canada,IE00B52SF786,99,ETF,LSE
CCL1.L,ISHARES VII PLC ISHARES MSCI CH,IE00B5NLL897,3659.5,ETF,LSE
CE01.L,iShares Euro Government Bond 7-10yr Acc,IE00B3VTN290,12242,ETF,LSE
CE31.L,iShares Euro Government Bond 1-3yr Acc,IE00B3VTMJ91,8823.5,ETF,LSE
CE71.L,iShares Euro Government Bond 3-7yr Acc,IE00B3VTML14,10453,ETF,LSE
CEA1.L,ISHARES VII PLC ISHARES MSCI EM,IE00B5L8K969,7339,ETF,LSE
CEL1.L,,LU0154139132,NaN,,
CEM1.L,,LU0312694234,NaN,,
CEMA.L,ISHS MSCI EM USD-AC,IE00B5L8K969,103.88,ETF,LSE
CEMG.L,iShares MSCI Emerging Markets Cons Gr,IE00BKM4H197,23.16,ETF,LSE
CEML.L,ISHARES VII PLC ISHARES MSCI EM,IE00B5KMFT47,56.99,ETF,LSE
CES1.L,iShares MSCI EMU Small Cap,IE00B3VWMM18,11743,ETF,LSE
CEU.L,ISHS MSC EMU EUR-AC,IE00B53QG562,88.93,ETF,LSE
CEU1.L,iShares MSCI EMU,IE00B53QG562,7016,ETF,LSE
CEUL.L,,LU0154139132,NaN,,
CEUM.L,,LU0312694234,NaN,,
CEUS.L,ISH EMU SC EUR-ACC,IE00B3VWMM18,148.83,ETF,LSE
CID1.L,ISHARES VII PLC ISHARES DJ INDU,IE00B53L4350,12858.5,ETF,LSE
CIE1.L,ISHARES VII PLC ISHARES EUR INF,IE00B3VTQ640,9965.5,ETF,LSE
CIND.L,ISHS DJ IND USD-ACC,IE00B53L4350,181.96,ETF,LSE
CIU1.L,,IE00B3VTPS97,NaN,,
CJPL.L,,IE00B3VWM213,NaN,,
CJPS.L,,IE00B3VWMK93,NaN,,
CJPU.L,ISHARES VII PLC MSCI JAPAN JPY,IE00B53QDK08,113.47,ETF,LSE
CJSU.L,,IE00B3VWMK93,NaN,,
CKR1.L,ISHARES VII PLC ISHARES MSCI KO,IE00B5W4TY14,8069,ETF,LSE
CM1.L,,LU0254097446,NaN,,
CMB1.L,iShares FTSE MIB (Acc),IE00B53L4X51,4918.5,ETF,LSE
CMIB.L,iShares FTSE MIB (Acc),IE00B53L4X51,62.16,ETF,LSE
CML1.L,ISHARES VII PLC ISHARES MSCI EM,IE00B5KMFT47,3778,ETF,LSE
CMX1.L,iShares MSCI Mexico Capped,IE00B5WHFQ43,8297.5,ETF,LSE
CMXC.L,ISHS MSCI ME USD-AC,IE00B5WHFQ43,117.49,ETF,LSE
CNDX.L,ISHS NASDAQ USD-AC,IE00B53SZB19,240.49,ETF,LSE
CNKY.L,ISHS NIK 225 JPY-AC,IE00B52MJD48,9473.5,ETF,LSE
