GB00B3TYHH97.L,Vanguard LifeStrategy 60% Equity A Acc,,14154,Mutual Fund,LSE
GB00B3X7QG63.L,Vanguard FTSE U.K. All Shr Idx UT Acc,,15223,Mutual Fund,LSE
GB00B3ZHN960.L,Vanguard LifeStrategy 40% Equity A Acc,,13812,Mutual Fund,LSE
GB00B41F6L43.L,Vanguard LifeStrategy 40% Equity A Inc,,12973,Mutual Fund,LSE
GB00B41XG308.L,Vanguard LifeStrategy 100% Equity A Acc,,14668,Mutual Fund,LSE
GB00B44DQC62.L,Vanguard U.K. Long Dur Gilt Idx Inc,,14927,Mutual Fund,LSE
GB00B45Q9038.L,Vanguard U.K. Infl-Lnkd Gilt Idx Acc,,15570,Mutual Fund,LSE
GB00B4620290.L,Vanguard LifeStrategy 20% Equity A Inc,,12607,Mutual Fund,LSE
GB00B467FS56.L,Vanguard U.K. Infl-Lnkd Gilt Idx Inc,,15502,Mutual Fund,LSE
GB00B4KWNF91.L,Vanguard LifeStrategy 80% Equity A Inc,,13616,Mutual Fund,LSE
GB00B4M89245.L,Vanguard U.K. Long Dur Gilt Idx Acc,,16823,Mutual Fund,LSE
GB00B4NXY349.L,Vanguard LifeStrategy 20% Equity A Acc,,13374,Mutual Fund,LSE
GB00B4PQW151.L,Vanguard LifeStrategy 80% Equity A Acc,,14446,Mutual Fund,LSE
GB00B4R2F348.L,Vanguard LifeStrategy 60% Equity A Inc,,13313,Mutual Fund,LSE
GB00B545NX97.L,Vanguard LifeStrategy 100% Equity A Inc,,13855,Mutual Fund,LSE
GB00B59G4H82.L,Vanguard FTSE U.K. Eq Inc Idx Acc,,21051,Mutual Fund,LSE
GB00B59G4Q73.L,Vanguard FTSE Dev Wld ex UK Eq Idx Acc,,23163,Mutual Fund,LSE
GB00B5B71H80.L,Vanguard FTSE Dev Eurp ex UK Eq Idx Acc,,17940,Mutual Fund,LSE
GB00B5B71Q71.L,Vanguard US Equity Index Acc,,29372,Mutual Fund,LSE
GB00B5B74684.L,Vanguard FTSE U.K. Eq Inc Idx Inc,,15874,Mutual Fund,LSE
GB00B5B74F71.L,Vanguard FTSE Dev Wld ex UK Eq Idx Inc,,20620,Mutual Fund,LSE
GB00B5B74N55.L,Vanguard FTSE Dev Eurp ex UK Eq Idx Inc,,15204,Mutual Fund,LSE
GB00B5B74S01.L,Vanguard US Equity Index Inc,,26822,Mutual Fund,LSE
GB00BPN5NV83.L,Vanguard FTSE U.K. Eq Inc Idx InstPlsInc,,9125,Mutual Fund,LSE
GB00BPN5NW90.L,Vanguard FTSE U.K. Eq Inc Idx InstPlsAcc,,9576,Mutual Fund,LSE
GB00BPN5NX08.L,Vanguard FTSE Dev WldexUKEqIdxInstPlsInc,,11083,Mutual Fund,LSE
GB00BPN5NY15.L,Vanguard FTSE Dev WldexUKEqIdxInstPlsAcc,,11328,Mutual Fund,LSE
GB00BPN5NZ22.L,Vanguard FTSE DevEurpexUKEqIdxInstPlsInc,,9994,Mutual Fund,LSE
GB00BPN5P014.L,Vanguard FTSE DevEurpexUKEqIdxInstPlsAcc,,10271,Mutual Fund,LSE
GB00BPN5P121.L,Vanguard US Equity Index Inst Plus Inc,,11730,Mutual Fund,LSE
GB00BPN5P238.L,Vanguard US Equity Index Inst Plus Acc,,11946,Mutual Fund,LSE
GB00BPN5P345.L,Vanguard U.K. Infl-LnkdGiltIdxInstPlsInc,,11196,Mutual Fund,LSE
GB00BPN5P451.L,Vanguard U.K. Infl-LnkdGiltIdxInstPlsAcc,,11197,Mutual Fund,LSE
GB00BPN5P568.L,Vanguard U.K. Long Dur GiltIdxInstPlsInc,,11487,Mutual Fund,LSE
GB00BPN5P675.L,Vanguard U.K. Long Dur GiltIdxInstPlsAcc,,11818,Mutual Fund,LSE
GB00BPN5P782.L,Vanguard FTSE U.K. All Shr Idx UT Inc,,9304,Mutual Fund,LSE
GB00BPN5P899.L,Vanguard FTSE U.K. AllShrIdxUTInstPlsInc,,9305,Mutual Fund,LSE
GB00BPN5P907.L,Vanguard FTSE U.K. AllShrIdxUTInstPlsAcc,,9689,Mutual Fund,LSE
VAPX.L,VAN FTSE AS ETF USD,IE00B9F5YL18,14.43,ETF,LSE
VDCP.L,Vanguard USD Corporate Bond ETF,IE00BZ163K21,51.29,ETF,LSE
VDEM.L,Vanguard FTSE Emerging Markets ETF,IE00B3VVMM84,44.91,ETF,LSE
VDEV.L,Vanguard FTSE Developed World ETF,IE00BKX55T58,47.69,ETF,LSE
VDJP.L,Vanguard FTSE Japan ETF,IE00B95PGT31,23.91,ETF,LSE
VDLQ.L,Vanguard Glbl Lqudty Fact UCITS ETF $Acc,IE00BYYR0D71,24.78,ETF,LSE
VDMO.L,Vanguard Glbl Mom Fact UCITS ETF USD Acc,IE00BYYR0935,23.84,ETF,LSE
VDMV.L,Vanguard Glbl Minimum Vol UCITS ETF $Acc,IE00BYYR0C64,25.2,ETF,LSE
VDNR.L,Vanguard FTSE North America ETF,IE00BKX55R35,50.38,ETF,LSE
VDPX.L,Vanguard FTSE Dev Asia Pac exJpn ETF,IE00B9F5YL18,20.42,ETF,LSE
VDTY.L,Vanguard USD Treasury Bond ETF,IE00BZ163M45,24.84,ETF,LSE
VDVA.L,Vanguard Glbl Val Fact UCITS ETF USD Acc,IE00BYYR0B57,24.52,ETF,LSE
VECP.L,Vanguard EUR Corporate Bond ETF,IE00BZ163G84,40.35,ETF,LSE
VERX.L,Vanguard FTSE Developed Europe ex UK ETF,IE00BKX55S42,19.66,ETF,LSE
VETY.L,Vanguard EUR Eurozone Gov Bond ETF,IE00BZ163H91,19.85,ETF,LSE
VEUR.L,Vanguard FTSE Developed Europe ETF,IE00B945VV12,20.92,ETF,LSE
VEVE.L,Vanguard FTSE Developed World ETF,IE00BKX55T58,33.6,ETF,LSE
VFEM.L,VAN FTSE EM MA USD,IE00B3VVMM84,31.49,ETF,LSE
VGOV.L,Vanguard UK Government Bond ETF,IE00B42WWV65,21.96,ETF,LSE
VHYD.L,Vanguard FTSE All-World High Div Yld ETF,IE00B8GKDB10,46.93,ETF,LSE
VHYL.L,VN HG DV ETF USD,IE00B8GKDB10,33.13,ETF,LSE
VJPN.L,VA FTSE JAP ETF USD,IE00B95PGT31,16.75,ETF,LSE
VLIQ.L,VAN GLB LIQ FAC USD,IE00BYYR0D71,17.43,ETF,LSE
VMID.L,Vanguard FTSE 250 ETF,IE00BKX55Q28,26.92,ETF,LSE
VMOM.L,VANG GL MOM FAC USD,IE00BYYR0935,16.8,ETF,LSE
VMVL.L,VANGUARD FUNDS PLC VANGUARD GLO,IE00BYYR0C64,17.74,ETF,LSE
VNRT.L,Vanguard FTSE North America ETF,IE00BKX55R35,35.41,ETF,LSE
VUCP.L,VANGUARD FUNDS PLC VANGUARD USD,IE00BZ163K21,36.45,ETF,LSE
VUKE.L,Vanguard FTSE 100 ETF,IE00B810Q511,27.32,ETF,LSE
VUSA.L,VAN S&P 500 ETF USD,IE00B3XXRP09,27.17,ETF,LSE
VUSD.L,Vanguard S&P 500 ETF,IE00B3XXRP09,38.66,ETF,LSE
VUTY.L,VANGUARD FUNDS PLC VANGUARD USD,IE00BZ163M45,17.56,ETF,LSE
VVAL.L,VANG GL VAL FAC USD,IE00BYYR0B57,17.23,ETF,LSE
VWRD.L,Vanguard FTSE All-World ETF,IE00B3RBWM25,64.81,ETF,LSE
VWRL.L,VANG FTSE ALL USD,IE00B3RBWM25,45.65,ETF,LSE
